epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2438.24,0.29637,0.22498,0.90639,0.99769,0.99792,0.99475,0.95951,0.38766,0.2963,0.63269,0.0010265,0.0010265,0.0010265
61,2480.64,0.28748,0.21841,0.90441,0.99772,0.99583,0.9949,0.95605,0.3801,0.25248,0.62526,0.00101,0.00101,0.00101
62,2522.69,0.28606,0.21736,0.90131,0.99758,0.99792,0.99487,0.96097,0.39119,0.21519,0.63863,0.0009935,0.0009935,0.0009935
63,2564.94,0.28832,0.2202,0.9033,0.99701,0.99583,0.99487,0.96134,0.38056,0.2464,0.64706,0.000977,0.000977,0.000977
64,2606.1,0.29167,0.22102,0.90285,0.99552,0.99792,0.99475,0.95492,0.3749,0.23219,0.63708,0.0009605,0.0009605,0.0009605
